frequency_hz,direct_adc_int16,filtered_adc_int16,direct_rms_uint16,filtered_rms_uint16,direct_rms_float,filtered_rms_float
44600,-14829,-6,16685,6,16684.7563025356,6.13700593097929
44620,-9741,-10,16685,6,16685.1092644022,6.46799512503681
44640,24016,2,16687,7,16686.627129047,6.7180595575471
44660,-12848,-3,16685,7,16684.8033870555,6.97155212721672
44680,-11932,9,16685,7,16685.3313403936,7.14018051132988
44700,24068,13,16687,7,16686.5370244593,7.33212177787747
44720,-10707,4,16685,8,16684.5264740809,7.6786661642827
44740,-13960,1,16686,8,16685.7003232951,8.15144434575094
44760,23823,8,16686,8,16686.2686723854,8.27256325055149
44780,-8430,-5,16684,9,16684.4572594666,8.67260695109175
44800,-15841,-2,16686,9,16685.958226625,8.74739079400966
44820,23281,3,16686,9,16686.1983421121,9.23744132677577
44840,-6048,-4,16684,9,16684.4543471259,9.49511593202
44860,-17540,-3,16686,10,16686.0359059276,9.61070874890349
44880,22456,10,16686,10,16685.9278647976,9.95313726451364
44900,-3570,-7,16684,10,16684.472485214,10.3172100986047
44920,-19019,-14,16686,11,16686.2336402913,10.6051514973267
44940,21354,8,16686,11,16685.621665765,10.7865136607305
44960,-1040,-2,16685,11,16684.605229699,10.952957826827
44980,-20293,-18,16686,11,16686.3155379983,11.2779383989828
45000,20010,10,16685,12,16685.4155152268,11.5145013020267
45020,1521,-3,16685,12,16684.5560157332,11.6288531080831
45040,-21332,-17,16686,12,16686.4971340962,11.9348819118582
45060,18404,12,16685,12,16685.0405206003,12.2545730462907
45080,4081,5,16685,12,16684.6765936566,12.3037326018367
45100,-22147,-20,16687,13,16686.5178651103,12.5842958465353
45120,16587,0,16685,13,16684.8749234503,12.5775718046052
45140,6620,13,16685,13,16684.9532759477,12.7705104635641
45160,-22714,-22,16687,13,16686.6306211681,13.0492980534395
45180,14586,3,16685,13,16684.7961687102,13.0717577092515
45200,9072,11,16685,13,16685.1909679501,13.2312477857816
45220,-23026,-11,16686,13,16686.4751107398,13.3279601396603
45240,12410,-2,16685,13,16684.584404832,13.359183112657
45260,11445,8,16685,13,16685.4018040486,13.4424954377433
45280,-23098,-15,16686,14,16686.459397557,13.5056411824837
45300,10098,-1,16684,14,16684.356845278,13.5153540435268
45320,13694,20,16686,14,16685.5083509885,13.6845209372214
45340,-22897,-14,16686,14,16686.2888845168,13.7020203374585
45360,7681,-8,16684,14,16684.2880166655,13.6408397749415
45380,15773,16,16686,14,16685.8446519578,13.7497869301673
45400,-22472,-15,16686,14,16686.0312770316,13.6973601756415
45420,5201,-12,16684,14,16684.2037849648,13.710534627272
45440,17683,17,16686,13,16686.0239273589,13.4797754322216
45460,-21776,-12,16686,14,16685.7915660172,13.7338950428083
45480,2657,-7,16684,14,16684.0540531868,13.5026671989046
45500,19375,16,16686,13,16686.1408285878,13.4841124684756
45520,-20861,-9,16686,14,16685.7938855868,13.523444269929
45540,116,-6,16684,13,16684.3618861451,13.3470520650863
45560,20835,19,16686,13,16686.3877697289,13.2855783388182
45580,-19710,7,16685,13,16685.4063665145,13.1922847510628
45600,-2418,-18,16684,13,16684.4123441691,12.9316392975475
45620,22041,13,16687,13,16686.5106119534,12.9293074906392
45640,-18311,8,16685,13,16685.2773219111,12.6988769034657
45660,-4904,-19,16685,13,16684.680459391,12.6209093775221
45680,22992,14,16687,12,16686.5265060588,12.3974504372371
45700,-16708,7,16685,12,16685.0902849196,12.1443647714948
45720,-7323,-10,16685,12,16684.8118728654,12.1233689302417
45740,23643,4,16687,12,16686.6037244531,11.9663019689669
45760,-14914,0,16685,12,16684.6387684742,11.658490903897
45780,-9647,-8,16685,11,16685.0536757994,11.3852760932157
45800,24000,-3,16687,11,16686.6183303342,11.1269858655938
